Changing Variable,mean_neg_dwell_time,mean_pos_dwell_time,pos_time_fraction,neg_time_fraction,pos_fraction + neg_fraction,p,sigma,B,x0,y0,z0,steps,dt
19,9999.270000171857,0.7400000000000004,7.39999259988023e-05,0.9999260000740012,1.0,19,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
19,9999.270000171857,0.7400000000000004,7.39999259988023e-05,0.9999260000740012,1.0,19,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
19,9999.270000171857,0.7400000000000004,7.39999259988023e-05,0.9999260000740012,1.0,19,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
19,9999.270000171857,0.7400000000000004,7.39999259988023e-05,0.9999260000740012,1.0,19,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
20,9999.300000171857,0.7100000000000004,7.099992899885086e-05,0.9999290000710013,1.0000000000000002,20,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
20,9999.300000171857,0.7100000000000004,7.099992899885086e-05,0.9999290000710013,1.0000000000000002,20,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
20,9999.300000171857,0.7100000000000004,7.099992899885086e-05,0.9999290000710013,1.0000000000000002,20,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
20,9999.300000171857,0.7100000000000004,7.099992899885086e-05,0.9999290000710013,1.0000000000000002,20,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
20,9999.300000171857,0.7100000000000004,7.099992899885086e-05,0.9999290000710013,1.0000000000000002,20,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
20,9999.300000171857,0.7100000000000004,7.099992899885086e-05,0.9999290000710013,1.0000000000000002,20,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
21,9999.330000171856,0.6800000000000004,6.799993199889941e-05,0.9999320000680011,1.0,21,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
21,9999.330000171856,0.6800000000000004,6.799993199889941e-05,0.9999320000680011,1.0,21,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
21,9999.330000171856,0.6800000000000004,6.799993199889941e-05,0.9999320000680011,1.0,21,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
21,9999.330000171856,0.6800000000000004,6.799993199889941e-05,0.9999320000680011,1.0,21,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
21,9999.330000171856,0.6800000000000004,6.799993199889941e-05,0.9999320000680011,1.0,21,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
21,9999.330000171856,0.6800000000000004,6.799993199889941e-05,0.9999320000680011,1.0,21,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
22,9999.350000171857,0.6600000000000004,6.599993399893179e-05,0.9999340000660011,1.0,22,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
22,9999.350000171857,0.6600000000000004,6.599993399893179e-05,0.9999340000660011,1.0,22,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
22,9999.350000171857,0.6600000000000004,6.599993399893179e-05,0.9999340000660011,1.0,22,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
22,9999.350000171857,0.6600000000000004,6.599993399893179e-05,0.9999340000660011,1.0,22,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
22,9999.350000171857,0.6600000000000004,6.599993399893179e-05,0.9999340000660011,1.0,22,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
22,9999.350000171857,0.6600000000000004,6.599993399893179e-05,0.9999340000660011,1.0,22,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
23,9999.370000171857,0.6400000000000003,6.399993599896415e-05,0.9999360000640011,1.0,23,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
23,9999.370000171857,0.6400000000000003,6.399993599896415e-05,0.9999360000640011,1.0,23,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
23,9999.370000171857,0.6400000000000003,6.399993599896415e-05,0.9999360000640011,1.0,23,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
23,9999.370000171857,0.6400000000000003,6.399993599896415e-05,0.9999360000640011,1.0,23,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
23,9999.370000171857,0.6400000000000003,6.399993599896415e-05,0.9999360000640011,1.0,23,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
23,9999.370000171857,0.6400000000000003,6.399993599896415e-05,0.9999360000640011,1.0,23,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
24,9999.390000171856,0.6200000000000003,6.199993799899652e-05,0.999938000062001,1.0,24,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
24,9999.390000171856,0.6200000000000003,6.199993799899652e-05,0.999938000062001,1.0,24,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
24,9999.390000171856,0.6200000000000003,6.199993799899652e-05,0.999938000062001,1.0,24,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
24,9999.390000171856,0.6200000000000003,6.199993799899652e-05,0.999938000062001,1.0,24,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
24,9999.390000171856,0.6200000000000003,6.199993799899652e-05,0.999938000062001,1.0,24,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
24,9999.390000171856,0.6200000000000003,6.199993799899652e-05,0.999938000062001,1.0,24,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
25,2.0544572368777714,2.0573889802981564,0.5003564996434131,0.49964350035658694,1.0,25,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
